index;u;v;key;osmid;oneway;ref;name;highway;maxspeed;reversed;length;lanes;bridge;tunnel;fid;geometry;points
3413;7851969486;1257506968;0;104161237;0;;;tertiary;;True;40.575;;;;3413;LINESTRING (140.8832438 38.2632671, 140.883213 38.262903);2
3491;1837893275;3731544578;0;837910365;1;;五橋通;tertiary;;False;25.117;2;;;3491;LINESTRING (140.8755482 38.2554658, 140.8758093 38.255371);2
3593;3731544578;3731544573;0;369358929;1;;北目町通;tertiary;;False;34.816;;;;3593;LINESTRING (140.8758093 38.255371, 140.876075 38.2552976, 140.8761794 38.255256);3
3625;3731544573;3731544576;0;837910348;0;;北目町通;tertiary;;False;13.125;;;;3625;LINESTRING (140.8761794 38.255256, 140.8763263 38.255281);2
3626;3731544573;2327862877;0;837910348;0;;北目町通;tertiary;;True;17.943;;;;3626;LINESTRING (140.8761794 38.255256, 140.8760238 38.2551506);2
3645;2534629038;7235845294;0;775629352;0;;;residential;;False;113.502;;;;3645;LINESTRING (140.8725178 38.2589427, 140.8712522 38.2587096);2
3819;4438760396;4438760397;0;446632337;0;;;residential;;False;72.679;;;;3819;LINESTRING (140.8854087 38.2555454, 140.8862308 38.2554431);2
3822;4438760397;5794595703;0;612089396;1;;;unclassified;;False;73.91399999999999;;;;3822;LINESTRING (140.8862308 38.2554431, 140.8863163 38.2559133, 140.8863399 38.2560434, 140.8863517 38.256101);4
3827;5859002457;9322204665;0;1010353647;1;;東八番丁;tertiary;;False;5.366;;;;3827;LINESTRING (140.8855791 38.2562382, 140.8855693 38.2562114, 140.8855587 38.2561928);3
3831;9322204665;9322204666;0;1010353639;1;;東八番丁;tertiary;;False;15.74;;;;3831;LINESTRING (140.8855587 38.2561928, 140.885527 38.2561449, 140.8854656 38.2560718);3
3834;5859002459;5859002457;0;1010353643;1;;新寺通;tertiary;;False;8.452;2;;;3834;LINESTRING (140.8854924 38.2562044, 140.8855791 38.2562382);2
3839;5859002477;4438760396;0;1010353636;1;;東八番丁;unclassified;;False;30.676;;;;3839;LINESTRING (140.8854547 38.2558189, 140.8854537 38.255813, 140.8854087 38.2555454);3
3875;9322204666;5859002477;0;104161249;1;;東八番丁;unclassified;;False;28.7;;;;3875;LINESTRING (140.8854656 38.2560718, 140.8854891 38.256024, 140.8854547 38.2558189);3
